Season,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Box/OT,Box/OT,Attend.,MOV,URL,date
2018,8:01p,Boston Celtics,99,Cleveland Cavaliers,102,Box Score,,"20,562",-3,/boxscores/201710170CLE.html,10/17/2017
2018,7:30p,Milwaukee Bucks,108,Boston Celtics,100,Box Score,,"18,624",-8,/boxscores/201710180BOS.html,10/18/2017
2018,7:00p,Boston Celtics,102,Philadelphia 76ers,92,Box Score,,"20,816",10,/boxscores/201710200PHI.html,10/20/2017
2018,7:30p,New York Knicks,89,Boston Celtics,110,Box Score,,"18,624",21,/boxscores/201710240BOS.html,10/24/2017
2018,8:00p,Boston Celtics,96,Milwaukee Bucks,89,Box Score,,"11,046",7,/boxscores/201710260MIL.html,10/26/2017
2018,8:00p,Boston Celtics,96,Miami Heat,90,Box Score,,"19,600",6,/boxscores/201710280MIA.html,10/28/2017
2018,7:30p,San Antonio Spurs,94,Boston Celtics,108,Box Score,,"18,624",14,/boxscores/201710300BOS.html,10/30/2017
2018,7:30p,Sacramento Kings,86,Boston Celtics,113,Box Score,,"18,624",27,/boxscores/201711010BOS.html,11/1/2017
2018,9:30p,Boston Celtics,101,Oklahoma City Thunder,94,Box Score,,"18,203",7,/boxscores/201711030OKC.html,11/3/2017
2018,6:00p,Boston Celtics,104,Orlando Magic,88,Box Score,,"17,731",16,/boxscores/201711050ORL.html,11/5/2017
2018,7:30p,Boston Celtics,110,Atlanta Hawks,107,Box Score,,"13,215",3,/boxscores/201711060ATL.html,11/6/2017
2018,8:00p,Los Angeles Lakers,96,Boston Celtics,107,Box Score,,"18,624",11,/boxscores/201711080BOS.html,11/8/2017
2018,7:30p,Charlotte Hornets,87,Boston Celtics,90,Box Score,,"18,624",3,/boxscores/201711100BOS.html,11/10/2017
2018,3:30p,Toronto Raptors,94,Boston Celtics,95,Box Score,,"18,624",1,/boxscores/201711120BOS.html,11/12/2017
2018,7:30p,Boston Celtics,109,Brooklyn Nets,102,Box Score,,"17,732",7,/boxscores/201711140BRK.html,11/14/2017
2018,8:00p,Golden State Warriors,88,Boston Celtics,92,Box Score,,"18,624",4,/boxscores/201711160BOS.html,11/16/2017
2018,7:30p,Boston Celtics,110,Atlanta Hawks,99,Box Score,,"16,381",11,/boxscores/201711180ATL.html,11/18/2017
2018,8:30p,Boston Celtics,110,Dallas Mavericks,102,Box Score,OT,"20,302",8,/boxscores/201711200DAL.html,11/20/2017
2018,7:30p,Boston Celtics,98,Miami Heat,104,Box Score,,"19,704",-6,/boxscores/201711220MIA.html,11/22/2017
2018,7:30p,Orlando Magic,103,Boston Celtics,118,Box Score,,"18,624",15,/boxscores/201711240BOS.html,11/24/2017
2018,8:00p,Boston Celtics,108,Indiana Pacers,98,Box Score,,"16,303",10,/boxscores/201711250IND.html,11/25/2017
2018,7:30p,Detroit Pistons,118,Boston Celtics,108,Box Score,,"18,624",-10,/boxscores/201711270BOS.html,11/27/2017
2018,7:30p,Philadelphia 76ers,97,Boston Celtics,108,Box Score,,"18,624",11,/boxscores/201711300BOS.html,11/30/2017
2018,1:00p,Phoenix Suns,111,Boston Celtics,116,Box Score,,"18,624",5,/boxscores/201712020BOS.html,12/2/2017
2018,7:30p,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,"18,624",11,/boxscores/201712040BOS.html,12/4/2017
2018,7:30p,Dallas Mavericks,90,Boston Celtics,97,Box Score,,"18,624",7,/boxscores/201712060BOS.html,12/6/2017
2018,9:30p,Boston Celtics,102,San Antonio Spurs,105,Box Score,,"18,418",-3,/boxscores/201712080SAS.html,12/8/2017
2018,4:00p,Boston Celtics,91,Detroit Pistons,81,Box Score,,"18,776",10,/boxscores/201712100DET.html,12/10/2017
2018,8:00p,Boston Celtics,85,Chicago Bulls,108,Box Score,,"19,617",-23,/boxscores/201712110CHI.html,12/11/2017
2018,7:30p,Denver Nuggets,118,Boston Celtics,124,Box Score,,"18,624",6,/boxscores/201712130BOS.html,12/13/2017
2018,7:30p,Utah Jazz,107,Boston Celtics,95,Box Score,,"18,624",-12,/boxscores/201712150BOS.html,12/15/2017
2018,9:00p,Boston Celtics,102,Memphis Grizzlies,93,Box Score,,"17,794",9,/boxscores/201712160MEM.html,12/16/2017
2018,7:00p,Boston Celtics,112,Indiana Pacers,111,Box Score,,"16,055",1,/boxscores/201712180IND.html,12/18/2017
2018,7:30p,Miami Heat,90,Boston Celtics,89,Box Score,,"18,624",-1,/boxscores/201712200BOS.html,12/20/2017
2018,8:00p,Boston Celtics,93,New York Knicks,102,Box Score,,"19,812",-9,/boxscores/201712210NYK.html,12/21/2017
2018,7:30p,Chicago Bulls,92,Boston Celtics,117,Box Score,,"18,624",25,/boxscores/201712230BOS.html,12/23/2017
2018,5:30p,Washington Wizards,111,Boston Celtics,103,Box Score,,"18,624",-8,/boxscores/201712250BOS.html,12/25/2017
2018,7:00p,Boston Celtics,102,Charlotte Hornets,91,Box Score,,"19,611",11,/boxscores/201712270CHO.html,12/27/2017
2018,8:00p,Houston Rockets,98,Boston Celtics,99,Box Score,,"18,624",1,/boxscores/201712280BOS.html,12/28/2017
